x,y
-0.4872712194919586,3.0291216373443604
-0.49608397483825684,3.085582971572876
-0.5004790425300598,3.1676151752471924
-0.5026558637619019,3.2653582096099854
-0.5220619440078735,3.331251859664917
-0.5577636361122131,3.344999074935913
-0.5852394104003906,3.349557876586914
-0.6077969074249268,3.3591880798339844
-0.6330839991569519,3.38490891456604
-0.6659408807754517,3.4158663749694824
-0.7026570439338684,3.4471499919891357
-0.7332833409309387,3.4778780937194824
-0.7584012150764465,3.4849019050598145
-0.766499400138855,3.4443588256835938
-0.7381131052970886,3.428030014038086
-0.7027419805526733,3.403871774673462
-0.6841474771499634,3.3822195529937744
-0.6912077069282532,3.401233673095703
-0.7270250916481018,3.4013876914978027
-0.788459837436676,3.394010543823242
-0.9046033024787903,3.4228432178497314
-1.0617908239364624,3.568481683731079
-1.1883018016815186,3.743772029876709
-1.304630160331726,3.8617868423461914
-1.4024291038513184,3.960467576980591
-1.5021240711212158,4.054907321929932
-1.6106539964675903,4.158797264099121
-1.6993943452835083,4.265380382537842
-1.7918405532836914,4.3815083503723145
-1.904532790184021,4.523058891296387
-2.0388381481170654,4.6658101081848145
-2.153928518295288,4.742620944976807
-2.2632389068603516,4.74649715423584
-2.3634555339813232,4.71949577331543
-2.473482608795166,4.7117600440979
-2.5817766189575195,4.692063331604004
-2.649477243423462,4.682145118713379
-2.7029812335968018,4.662795543670654
-2.7675516605377197,4.6252946853637695
-2.8157896995544434,4.577657222747803
-2.895698308944702,4.548092842102051
-2.975627899169922,4.5196003913879395
-3.0804309844970703,4.487054824829102
-3.1667802333831787,4.431689739227295
-3.198300838470459,4.384838581085205
-3.1556766033172607,4.3810529708862305
-3.082611560821533,4.430063247680664
-3.0200352668762207,4.479195594787598
-2.961442708969116,4.53057861328125
-2.9486823081970215,4.559264659881592
-2.952204942703247,4.596433639526367
-2.935912847518921,4.6566243171691895
-2.8923869132995605,4.713529109954834
-2.8450169563293457,4.793100357055664
-2.7950117588043213,4.885773181915283
-2.7382664680480957,4.976191520690918
-2.6943209171295166,5.06369686126709
-2.6640915870666504,5.146693229675293
-2.642160415649414,5.206141471862793
-2.6812407970428467,5.189401149749756
-2.743835210800171,5.156440734863281
-2.7920868396759033,5.091739654541016
-2.8431339263916016,5.026216983795166
-2.9022867679595947,4.992124557495117
-2.953874111175537,4.969415187835693
-2.974421739578247,4.9359331130981445
-2.975033760070801,4.905119895935059
-2.982957601547241,4.899349689483643
-2.9864609241485596,4.913800239562988
-2.9329121112823486,4.963358402252197
-2.9227917194366455,4.99017858505249
-2.9567973613739014,4.9994001388549805
-2.969074010848999,4.996844291687012
-2.974289655685425,4.992902755737305
-2.9524013996124268,4.986913681030273
-2.914787769317627,4.968181133270264
-2.8770384788513184,4.959083557128906
-2.8391361236572266,4.96396541595459
-2.791700839996338,4.975131988525391
-2.7410407066345215,5.014549255371094
-2.6881797313690186,5.070775985717773
-2.6409199237823486,5.098935127258301
-2.622554302215576,5.123457431793213
-2.6308753490448,5.145112037658691
-2.6427125930786133,5.188262939453125
-2.6502580642700195,5.197904586791992
-2.6509571075439453,5.20795202255249
-2.655393362045288,5.223100185394287
-2.6460659503936768,5.253090858459473
-2.6339900493621826,5.288692951202393
-2.5997731685638428,5.276458740234375
-2.5786292552948,5.254001140594482
-2.566567897796631,5.247572422027588
-2.5485434532165527,5.2476725578308105
-2.530125856399536,5.241310119628906
-2.524007797241211,5.257181644439697
-2.5273969173431396,5.278453350067139
-2.5369014739990234,5.286340713500977
-2.547229290008545,5.299383640289307
-2.5487921237945557,5.300343990325928
-2.543929100036621,5.299062728881836
-2.5512895584106445,5.313517093658447
-2.556014060974121,5.332085609436035
-2.5752127170562744,5.332326889038086
-2.6060950756073,5.3201422691345215
-2.607605218887329,5.316671848297119
-2.6066224575042725,5.312974452972412
-2.603555917739868,5.316450119018555
-2.6040639877319336,5.31974458694458
-2.6211578845977783,5.329094409942627
-2.6232755184173584,5.348483085632324
-2.617495059967041,5.377049922943115
-2.6119980812072754,5.405269622802734
-2.6261088848114014,5.411131381988525
-2.652233123779297,5.376909255981445
-2.667297840118408,5.351367950439453
-2.6810922622680664,5.338745594024658
-2.695547342300415,5.333437442779541
-2.6857762336730957,5.339240550994873
-2.673292398452759,5.337919235229492
-2.6445131301879883,5.326358318328857
-2.6270110607147217,5.314602375030518
-2.6069679260253906,5.306196689605713
-2.5626749992370605,5.311192035675049
-2.4776456356048584,5.335348129272461
-2.3855743408203125,5.361734390258789
-2.340672731399536,5.386747360229492
-2.356948137283325,5.405394554138184
-2.4140124320983887,5.430509090423584
